Age,Gender,MaritalStatus,AnnualIncome,EducationLevel,NumberOfDependents,Target_BoughtInsurance,Target_InsuranceType
48,Male,Married,73956.14,High School,1,1,Life
40,Male,Divorced,65869.94,Bachelor,0,1,Life
64,Male,Married,57295.61,High School,0,0,No_Insurance
52,Male,Married,161364.9,Master,2,1,Life
35,Female,Single,96226.99,Master,0,1,FSA
35,Male,Married,75578.06,Bachelor,1,1,Life
27,Female,Married,32381.14,High School,0,1,FSA
46,Female,Married,90305.46,Bachelor,3,1,A&H
42,Male,Married,65543.78,Other,2,1,Life
22,Female,Single,67291.83,Bachelor,0,1,A&H
33,Male,Married,86064.31,Bachelor,4,1,Life
37,Male,Married,84669.01,Master,2,1,Life
53,Female,Married,61519.25,High School,3,1,Life
24,Male,Single,67343.77,Bachelor,0,1,A&H
52,Male,Married,50135.96,High School,4,1,Life
44,Male,Married,63069.01,Bachelor,3,1,Life
21,Male,Single,113418.3,Master,0,1,FSA
31,Male,Divorced,36404.16,High School,1,1,FSA
46,Female,Divorced,50095.55,Associate,0,0,No_Insurance
36,Male,Married,132244.9,Master,3,1,Life
56,Female,Divorced,97455.29,Associate,0,1,Life
55,Female,Single,65994.27,High School,0,1,Life
46,Male,Married,110491.15,Master,1,1,Life
55,Female,Married,91218.15,Bachelor,2,1,Life
53,Male,Single,128141.75,Bachelor,1,1,FSA
60,Female,Divorced,59092.18,High School,0,1,A&H
47,Female,Married,80331.07,Other,2,1,Life
63,Male,Married,148161.9,Master,0,1,FSA
43,Male,Married,50602.71,High School,2,1,Life
37,Male,Married,103886.07,Bachelor,1,1,Life
62,Female,Married,66920.35,High School,0,1,Life
34,Male,Married,39904.91,High School,1,1,Life
54,Male,Married,86107.3,High School,2,1,Life
46,Female,Married,117376.51,Bachelor,4,1,Life
32,Male,Married,87502.66,Master,3,1,Life
37,Female,Married,99009.08,Bachelor,1,1,FSA
42,Male,Single,53379.7,High School,0,1,A&H
38,Male,Married,38411.38,High School,1,1,Life
39,Male,Divorced,149054.11,PhD,0,1,FSA
47,Male,Married,64717.86,Associate,2,0,No_Insurance
18,Female,Single,22484.71,High School,0,1,Life
41,Female,Single,59264.16,High School,0,1,FSA
39,Female,Divorced,64274.4,Bachelor,0,1,FSA
46,Male,Married,81451.38,High School,3,1,Life
57,Male,Married,62203.66,High School,0,1,A&H
52,Female,Married,63000.09,High School,4,1,Life
50,Male,Divorced,71283.15,Bachelor,0,1,FSA
